,alias,total,remuneration,employability,jobSatisfaction,workLifeBalance,diversityInTasks,careerProgressionOpportunities,__typename
133,business-administrator,13.0,3.8,4.0,3.9,3.9,4.0,3.7,RoleReviewStats
134,customer-service-administrator,12.0,3.3,3.0,3.5,3.9,3.1,3.3,RoleReviewStats
135,secretariat,1.0,3.0,4.0,5.0,5.0,2.0,5.0,RoleReviewStats
136,office-administrator,85.0,3.4,3.7,3.9,4.1,3.8,3.2,RoleReviewStats
137,administration-coordinator,13.0,3.5,4.2,4.1,4.2,3.6,3.8,RoleReviewStats
138,hire-coordinator,1.0,2.0,4.0,3.0,4.0,4.0,3.0,RoleReviewStats
139,team-coordinator,6.0,3.8,4.2,4.7,4.7,3.7,4.3,RoleReviewStats
140,office-supervisor,1.0,5.0,5.0,5.0,5.0,5.0,4.0,RoleReviewStats
141,business-support-officer,44.0,3.7,3.6,4.0,4.3,3.9,3.8,RoleReviewStats
142,secretary,27.0,3.5,3.6,3.8,4.0,3.6,3.0,RoleReviewStats
143,sales-administrator,33.0,3.7,4.2,4.2,4.3,4.0,3.6,RoleReviewStats
144,construction-coordinator,,,,,,,,
145,service-specialist,3.0,4.0,4.3,4.3,4.0,3.3,3.7,RoleReviewStats
146,service-administrator,15.0,3.3,3.9,3.9,3.6,3.6,3.6,RoleReviewStats
147,reporting-administrator,,,,,,,,
148,client-services-administrator,2.0,4.5,4.5,4.0,4.5,4.0,4.0,RoleReviewStats
149,management-coordinator,,,,,,,,
150,studio-coordinator,,,,,,,,
151,clerk,15.0,3.7,3.7,4.1,4.1,3.7,3.4,RoleReviewStats
152,governance-coordinator,1.0,4.0,4.0,4.0,4.0,4.0,3.0,RoleReviewStats
153,attendance-officer,,,,,,,,
154,operations-assistant,17.0,3.4,3.8,3.9,4.1,3.9,3.8,RoleReviewStats
155,project-administrator,57.0,3.9,3.8,4.1,4.2,3.9,3.7,RoleReviewStats
156,weighbridge-operator,3.0,4.3,4.3,4.3,4.7,3.7,4.0,RoleReviewStats
157,service-assistant,16.0,3.1,3.3,2.9,3.8,2.9,2.8,RoleReviewStats
158,administration-consultant,1.0,1.0,1.0,1.0,1.0,1.0,1.0,RoleReviewStats
159,scheduling-coordinator,5.0,3.6,3.4,3.8,3.8,3.8,3.2,RoleReviewStats
160,construction-administrator,3.0,4.0,4.3,3.7,3.0,4.7,4.3,RoleReviewStats
161,medical-administrator,26.0,3.5,4.0,3.8,3.7,3.6,3.2,RoleReviewStats
162,documentation-officer,,,,,,,,
163,business-executive,,,,,,,,
164,support-officer,31.0,3.8,3.8,3.9,4.2,3.7,3.4,RoleReviewStats
