,id,role_id,alias,title,roleReviewStatistics,growth,industry,salarySuggestion.locationName,salarySuggestion.suggestion.min,salarySuggestion.suggestion.max,salarySuggestion.salary_min,salarySuggestion.salary_max,salarySuggestion.salary_median,salarySuggestion.__typename,roleReviewStatistics.jobSatisfaction,roleReviewStatistics.__typename,growth.value,growth.__typename,salarySuggestion
57,finance-coordinator,finance-coordinator,finance-coordinator,Finance Coordinator,,,accounting,Australia,55000.0,115000.0,75000.0,95000.0,92500.0,SalarySuggestion,4.5,RoleReviewStats,,,
58,accounts-supervisor,accounts-supervisor,accounts-supervisor,Accounts Supervisor,,,accounting,Australia,70000.0,100000.0,80000.0,90000.0,82500.0,SalarySuggestion,5.0,RoleReviewStats,,,
59,billing-clerk,billing-clerk,billing-clerk,Billing Clerk,,,accounting,Australia,50000.0,80000.0,60000.0,70000.0,67500.0,SalarySuggestion,5.0,RoleReviewStats,,,
60,accounting-manager,accounting-manager,accounting-manager,Accounting Manager,,,accounting,Australia,105000.0,165000.0,125000.0,145000.0,135000.0,SalarySuggestion,4.0,RoleReviewStats,,,
61,accounts-administrator,accounts-administrator,accounts-administrator,Accounts Administrator,,,accounting,Australia,55000.0,85000.0,65000.0,75000.0,70000.0,SalarySuggestion,4.1,RoleReviewStats,4.3,Growth,
62,accountant,accountant,accountant,Accountant,,,accounting,Australia,50000.0,110000.0,70000.0,90000.0,80000.0,SalarySuggestion,3.9,RoleReviewStats,9.2,Growth,
63,financial-analyst,financial-analyst,financial-analyst,Financial Analyst,,,accounting,Australia,80000.0,140000.0,100000.0,120000.0,110000.0,SalarySuggestion,3.7,RoleReviewStats,32.2,Growth,
64,credit-specialist,credit-specialist,credit-specialist,Credit Specialist,,,accounting,Australia,70000.0,100000.0,80000.0,90000.0,80000.0,SalarySuggestion,3.0,RoleReviewStats,,,
65,commercial-analyst,commercial-analyst,commercial-analyst,Commercial Analyst,,,accounting,Australia,90000.0,150000.0,110000.0,130000.0,120000.0,SalarySuggestion,4.1,RoleReviewStats,22.3,Growth,
66,financial-officer,financial-officer,financial-officer,Financial Officer,,,accounting,Australia,55000.0,100000.0,70000.0,85000.0,75000.0,SalarySuggestion,4.0,RoleReviewStats,-0.3,Growth,
67,valuations-manager,valuations-manager,valuations-manager,Valuations Manager,,,accounting,Australia,100000.0,160000.0,120000.0,140000.0,131250.0,SalarySuggestion,,,,,
68,assurance-adviser,assurance-adviser,assurance-adviser,Assurance Adviser,,,accounting,Australia,75000.0,135000.0,95000.0,115000.0,102999.0,SalarySuggestion,,,,,
69,banking-officer,banking-officer,banking-officer,Banking Officer,,,accounting,Australia,60000.0,75000.0,65000.0,70000.0,65000.0,SalarySuggestion,5.0,RoleReviewStats,,,
70,finance-business-partner,finance-business-partner,finance-business-partner,Finance Business Partner,,,accounting,Australia,95000.0,155000.0,115000.0,135000.0,125000.0,SalarySuggestion,3.0,RoleReviewStats,10.7,Growth,
71,credit-manager,credit-manager,credit-manager,Credit Manager,,,accounting,Australia,85000.0,145000.0,105000.0,125000.0,115000.0,SalarySuggestion,3.3,RoleReviewStats,,,
72,advisory-manager,advisory-manager,advisory-manager,Advisory Manager,,,accounting,Australia,100000.0,160000.0,120000.0,140000.0,129999.0,SalarySuggestion,,,,,
73,financial-consultant,financial-consultant,financial-consultant,Financial Consultant,,,accounting,Australia,70000.0,130000.0,90000.0,110000.0,99999.0,SalarySuggestion,4.3,RoleReviewStats,,,
74,claims-analyst,claims-analyst,claims-analyst,Claims Analyst,,,accounting,,,,,,,,,,,,
